FID_EXT,Districts,RX1,CWD,Both
633,Almora,0,0,0
634,Bageshwar,0,0,0
635,Chamoli,0,0,0
636,Champawat,0,0,0
637,Dehradun,0.460391133,1.074245978,0.767318555
638,Garhwal,0,0.129700701,0.064850351
639,Hardwar,1.54576767,1.54576767,1.54576767
640,Nainital,0.298400994,0.298400994,0.298400994
641,Pithoragarh,0,0,0
642,Rudraprayag,0,0,0
643,Tehri Garhwal,0.105900371,0.211800742,0.158850556
644,Udham Singh Nagar,0.543170095,1.086340189,0.814755142
645,Uttarkashi,0,0,0
646,Alipurduar,1.104141451,1.104141451,1.104141451
647,Bankura,1.389876573,1.389876573,1.389876573
648,Barddhaman,2.134852054,2.134852054,2.134852054
649,Birbhum,1.795720702,1.795720702,1.795720702
650,Dakshin Dinajpur,3.037024569,3.037024569,3.037024569
651,Darjiling,2.20026779,2.20026779,2.20026779
652,Haora,1.564422032,1.564422032,1.564422032
653,Hugli,2.699850392,2.699850392,2.699850392
654,Jalpaiguri,1.722276021,1.722276021,1.722276021
655,Koch Bihar,3.177990911,3.177990911,3.177990911
656,Kolkata,1,1,1
657,Maldah,2.563189486,2.563189486,2.563189486
658,Murshidabad,1.184141791,3.552425373,2.368283582
659,Nadia,2.395331572,2.395331572,2.395331572
660,North 24 Parganas,2.303634171,2.303634171,2.303634171
661,Pashchim Medinipur,2.765290391,2.765290391,2.765290391
662,Purba Medinipur,2.58709843,2.58709843,2.58709843
663,Puruliya,0.752384555,1.50476911,1.128576832
664,South 24 Parganas,2.207312881,2.207312881,2.207312881
665,Uttar Dinajpur,2.412137161,2.412137161,2.412137161
